id,loc
229,"116.341014,39.784747"
230,"116.341014,39.784747"
231,"117.020359,36.668530"
232,"116.341014,39.784747"
233,"116.501617,39.685539"
234,"116.341014,39.784747"
235,"115.688692,41.669668"
236,"116.407526,39.904030"
237,"116.407526,39.904030"
238,"116.287149,39.858427"
239,"115.688692,41.669668"
240,"115.688692,41.669668"
241,"115.688692,41.669668"
242,"116.407526,39.904030"
243,"115.688692,41.669668"
244,"115.688692,41.669668"
245,"108.940174,34.341568"
246,"108.940174,34.341568"
247,"123.429440,41.835441"
248,"108.940174,34.341568"
249,"108.940174,34.341568"
250,"117.200983,39.084158"
251,"117.200983,39.084158"
252,"108.327546,22.815478"
253,"116.287149,39.858427"
254,"117.284922,31.861184"
255,"116.287149,39.858427"
256,"126.661669,45.742347"
257,"116.287149,39.858427"
258,"116.393547,39.805305"
259,"116.407526,39.904030"
260,"116.287149,39.858427"
261,"126.661669,45.742347"
262,"116.287149,39.858427"
263,"114.468664,38.037057"
264,"116.341014,39.784747"
265,"114.341861,30.546498"
266,"116.287149,39.858427"
267,"114.468664,38.037057"
268,"116.287149,39.858427"
269,"126.661669,45.742347"
270,"116.341014,39.784747"
271,"116.407526,39.904030"
272,"116.287149,39.858427"
273,"113.753602,34.765515"
274,"116.287149,39.858427"
275,"116.377754,39.829414"
276,"117.020359,36.668530"
277,"116.287149,39.858427"
278,"116.377754,39.829414"
279,"113.753602,34.765515"
280,"116.287149,39.858427"
281,"116.407526,39.904030"
282,"116.341014,39.784747"
283,"108.327546,22.815478"
284,"116.287149,39.858427"
285,"116.341014,39.784747"
286,"113.753602,34.765515"
287,"116.341014,39.784747"
288,"116.407526,39.904030"
289,"116.329519,39.972134"
290,"113.753602,34.765515"
291,"116.287149,39.858427"
292,"116.377754,39.829414"
293,"113.753602,34.765515"
294,"116.287149,39.858427"
295,"116.377754,39.829414"
296,"116.407526,39.904030"
297,"116.287149,39.858427"
298,"114.468664,38.037057"
299,"116.341014,39.784747"
300,"114.468664,38.037057"
301,"116.341014,39.784747"
302,"116.407526,39.904030"
303,"116.341014,39.784747"
304,"114.468664,38.037057"
305,"116.287149,39.858427"
306,"116.407526,39.904030"
307,"116.287149,39.858427"
308,"116.280487,39.871742"
309,"118.451439,37.523647"
310,"115.498703,35.249348"
311,"117.200983,39.084158"
312,"117.314324,39.086569"
313,"121.473701,31.230416"
314,"121.610583,31.205027"
315,"114.468664,38.037057"
316,"116.341014,39.784747"
317,"116.407526,39.904030"
318,"114.468664,38.037057"
319,"116.341014,39.784747"
320,"116.407526,39.904030"
321,"114.468664,38.037057"
322,"116.287149,39.858427"
323,"114.468664,38.037057"
324,"116.287149,39.858427"
325,"114.468664,38.037057"
326,"116.287149,39.858427"
327,"116.287149,39.858427"
328,"114.468664,38.037057"
329,"116.287149,39.858427"
330,"113.753602,34.765515"
331,"116.341014,39.784747"
332,"114.468664,38.037057"
333,"116.287149,39.858427"
334,"113.753602,34.765515"
335,"116.341014,39.784747"
336,"125.325990,43.896536"
337,"117.020359,36.668530"
338,"116.341014,39.784747"
339,"117.020359,36.668530"
340,"116.329519,39.972134"
341,"108.954239,34.265472"
342,"116.287149,39.858427"
343,"117.284922,31.861184"
344,"116.287149,39.858427"
345,"117.284922,31.861184"
346,"116.287149,39.858427"
347,"117.284922,31.861184"
348,"116.287149,39.858427"
349,"116.287149,39.858427"
350,"117.284922,31.861184"
351,"116.287149,39.858427"
352,"117.284922,31.861184"
353,"116.287149,39.858427"
354,"117.284922,31.861184"
355,"116.287149,39.858427"
356,"114.468664,38.037057"
357,"115.935553,38.935364"
358,"116.407526,39.904030"
359,"116.407526,39.904030"
360,"115.935553,38.935364"
361,"115.935553,38.935364"
362,"115.464806,38.873891"
363,"114.468664,38.037057"
364,"115.935553,38.935364"
365,"116.407526,39.904030"
366,"116.407526,39.904030"
367,"115.935553,38.935364"
368,"115.935553,38.935364"
369,"115.464806,38.873891"
370,"114.468664,38.037057"
371,"115.935553,38.935364"
372,"115.935553,38.935364"
373,"116.407526,39.904030"
374,"115.935553,38.935364"
375,"115.464806,38.873891"
376,"114.468664,38.037057"
377,"115.935553,38.935364"
378,"115.464806,38.873891"
379,"114.468664,38.037057"
380,"115.935553,38.935364"
381,"116.407526,39.904030"
382,"116.407526,39.904030"
383,"115.935553,38.935364"
384,"115.464806,38.873891"
